kw-ai-services,,,,,,,,,,,,,,,,,,,,,,,,,
1 April 2025 - 31 March 2026,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
web development and ai,INR,20,0%,-80%,Medium,41,538.56,935.73,,,,,,50,50,20,10,10,20,30,10,10,10,10,10
web development with ai,INR,10,0%,0%,Medium,44,424.84,1438.61,,,,,,10,10,10,10,20,10,20,10,10,10,10,10
build ai bot,INR,260,52%,0%,Medium,59,388.33,1728.67,,,,,,320,320,260,260,260,390,260,170,140,210,260,320
zendesk intelligent triage,INR,70,56%,100%,Low,12,1397.63,5669.02,,,,,,70,50,50,50,70,70,50,40,70,90,90,140
conversational ai integration,INR,20,100%,-33%,Low,4,,,,,,,,40,70,40,20,10,10,10,10,10,10,10,20
chatbot live chat integration,INR,10,∞,0%,Low,11,,,,,,,,10,10,10,0,10,10,0,10,0,0,10,10
artificial intelligence web development,INR,880,49%,-45%,Low,20,530.59,2103.21,,,,,,1300,880,720,720,590,880,880,720,480,590,480,880
create ai chatbot using python,INR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0
ai web applications,INR,10,100%,-60%,Low,0,,,,,,,,50,30,10,10,10,20,10,10,10,10,10,20
ai in web design,INR,40,50%,-40%,Low,21,215.42,877.70,,,,,,90,70,30,20,20,30,90,90,20,20,30,30
artificial intelligence systems integration,INR,90,29%,-47%,Low,33,723.75,2447.84,,,,,,110,90,70,70,90,170,110,70,70,70,110,90
ai insurance agency,INR,20,200%,-40%,Medium,58,775.71,2975.14,,,,,,30,40,20,30,40,10,20,20,20,10,20,30
ai based web development,INR,20,0%,-75%,Medium,50,397.19,978.85,,,,,,70,40,20,10,20,20,10,10,0,10,10,10
salesforce einstein bot examples,INR,10,0%,-100%,Unknown,,,,,,,,,10,0,10,10,0,0,10,0,0,0,10,0
web development with ai project,INR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
ai chatbot development services,INR,1000,310%,23%,Low,6,596.09,2749.93,,,,,,1300,1300,1300,590,590,1600,880,880,1000,390,480,1600
web development using ai,INR,10,0%,-50%,High,77,252.46,1303.03,,,,,,10,10,10,10,10,10,10,10,20,10,20,10
create conversational ai agents with dialogflow cx,INR,10,-100%,-100%,Unknown,,,,,,,,,10,0,10,10,10,10,10,0,10,10,10,0
using ai in web development,INR,10,0%,0%,Medium,64,,,,,,,,10,10,10,10,10,0,10,10,10,10,10,10
agents in artificial intelligence,INR,60500,83%,22%,Medium,43,665.98,1719.26,,,,,,60500,74000,60500,60500,49500,49500,49500,40500,33100,49500,74000,90500
chatbot integration with sap,INR,10,0%,-100%,Unknown,,,,,,,,,10,0,10,10,0,0,0,10,10,0,0,0
create a chat bot for website,INR,40,250%,-22%,Low,8,218.46,691.00,,,,,,90,50,50,30,10,20,10,10,10,20,40,70
a & i insurance agency,INR,20,0%,-60%,Low,28,440.04,3719.01,,,,,,20,20,20,20,20,30,20,10,20,20,20,20
ai chatbot app development services,INR,50,367%,180%,Low,1,,,,,,,,90,90,50,20,30,140,20,10,10,30,30,140
ai ml in web development,INR,10,0%,0%,Unknown,,,,,,,,,0,10,10,0,10,10,0,0,0,0,0,0
ai with web development,INR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,0,10,0,10,10,10,10,0
appsheet ai,INR,30,50%,0%,Medium,37,419.51,2031.81,,,,,,30,20,20,30,30,30,20,20,30,20,20,30
artificial intelligence and web development,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,10,0,10,0,0,10,0,0,0,0
artificial intelligence integration services,INR,720,22%,-18%,Low,7,785.18,2263.60,,,,,,1000,590,480,390,480,1300,720,480,590,590,320,720
best chatbot developers,INR,10,0%,0%,Low,0,,,,,,,,0,10,0,10,10,0,0,10,0,10,10,10
botpress converse api,INR,10,∞,0%,Low,0,,,,,,,,10,0,0,0,10,10,0,10,0,0,0,10
botpress deploy,INR,10,0%,0%,Low,0,,,,,,,,10,0,10,0,0,0,0,0,0,10,10,10
build enterprise chatbot,INR,10,0%,-100%,Unknown,,,,,,,,,0,0,10,10,0,0,10,0,0,0,0,0
chat bots development,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,10,0,10,10,0,0,0,0,0,0
chatbot app development,INR,70,2500%,53%,Low,0,,,,,,,,110,140,140,40,30,110,10,10,10,10,20,260
chatbot application development services,INR,70,120%,0%,Low,0,,,,,,,,110,110,50,30,40,210,30,10,40,50,30,110
chatbot integration services,INR,20,200%,0%,Low,3,,,,,,,,30,30,10,10,20,20,10,10,10,10,10,30
client billing ai integration,INR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
client billing with ai integration,INR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
client billing with ai integrations,INR,10,0%,0%,Unknown,,,,,,,,,0,10,10,10,0,0,0,0,0,0,0,0
content search chatbot development,INR,10,∞,0%,Low,0,,,,,,,,10,10,10,0,10,0,0,0,10,0,0,10
converse api botpress,INR,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,10,0,10,0,0,0,0
create conversational chatbot,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,0,10,0,0,0,0,0
customer service ai chatbot development service for websites,INR,20,-50%,-80%,Low,3,,,,,,,,40,20,10,0,10,90,0,0,10,20,10,10
enterprise chatbot development,INR,10,∞,-50%,Low,0,,,,,,,,20,20,10,10,10,10,10,0,10,0,0,10
enterprise chatbot development service,INR,30,200%,-57%,Low,0,,,,,,,,50,50,20,10,20,90,20,10,10,10,10,30
google chatbot development,INR,10,-100%,-100%,Unknown,,,,,,,,,10,0,10,10,0,0,10,10,10,10,0,0
integration of 5g with analytics and artificial intelligence,INR,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
integration of real time and streaming data for artificial intelligence,INR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
intelligent triage zendesk,INR,30,0%,-60%,Low,12,,,,,,,,30,40,20,40,30,30,30,10,20,20,30,20
make a chatbot app,INR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,0,10,10,10,10,10,0,0
power bi integrating ai and machine learning,INR,10,-100%,-100%,Unknown,,,,,,,,,10,10,0,10,0,10,10,0,0,10,10,0
role of ai in web development,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,10,20,0,20,0,0,0,0,10,0
salesforce einstein analytics documentation,INR,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
salesforce einstein analytics features,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,10,0,10,10,0,0,0,0,10,0
salesforce einstein analytics review,INR,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
salesforce einstein knowledge,INR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0
salesforce sagemaker,INR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
solvvy zendesk,INR,10,0%,0%,Unknown,,,,,,,,,10,10,0,10,10,10,0,0,0,0,0,0
use of ai in web development,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,10,0,10,10,10,10,0,0,0,0
web based chatbot python,INR,10,0%,-100%,Unknown,,,,,,,,,0,10,10,0,0,0,0,0,0,0,0,0
zendesk ai ticketing,INR,30,100%,-50%,Low,8,,,,,,,,40,40,10,20,20,110,20,10,10,10,20,20
ai agent development,INR,590,238%,49%,Low,24,661.39,2448.44,,,,Y,,720,720,720,720,590,1600,590,260,260,260,590,880
ai agent for business,INR,590,306%,233%,Low,13,1133.80,4080.28,,,,Y,,480,590,590,390,320,720,1300,480,320,320,480,1300
conversational ai development,INR,10,200%,50%,Low,6,,,,,,,,10,10,40,10,10,20,10,10,10,10,10,30
ai saas development,INR,10,-50%,-97%,Low,25,401.56,9975.78,,,,,,20,20,10,10,20,10,10,10,10,20,10,10
