kw-audience-intent,,,,,,,,,,,,,,,,,,,,,,,,,
1 April 2025 - 31 March 2026,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
restaurant websites examples,INR,210,50%,-19%,Low,19,224.87,728.02,,,,,,260,260,210,140,140,210,390,210,140,140,170,210
real estate developer website design,INR,10,0%,-50%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
roofing company website design,INR,90,40%,-73%,Low,6,429.03,1315.21,,,,,,260,170,140,40,40,260,30,20,20,50,50,70
small business website agency,INR,50,100%,-60%,Low,17,718.92,2801.98,,,,,,40,30,30,10,50,210,40,70,30,10,10,20
restaurant web design agency,INR,140,250%,-64%,Low,5,433.48,972.03,,,,,,390,210,140,90,140,210,70,30,20,40,40,140
restaurant website developer,INR,10,0%,-50%,Medium,49,2203.06,4471.42,,,,,,20,20,20,10,20,20,10,10,10,10,10,10
best medical clinic website design,INR,10,0%,0%,High,79,,,,,,,,10,0,10,0,10,10,10,10,10,10,10,10
law firm website development,INR,2900,190%,-19%,Low,14,3306.93,7558.70,,,,Y,,3600,4400,2900,2400,2400,6600,2400,1000,1000,1000,1300,2900
best website design companies for small business near me,INR,10,∞,0%,Low,0,,,,,,,,10,20,10,20,10,30,10,0,0,0,10,10
startup web development company,INR,30,800%,29%,Low,0,,,,,,,,70,70,30,10,10,40,10,10,10,10,10,90
small business website design packages,INR,260,550%,-46%,Low,2,420.18,1989.03,,,,,,590,480,320,140,140,720,90,30,40,40,50,260
medical website design company,INR,320,88%,-33%,Low,8,1318.82,10394.78,,,,,,590,480,320,140,170,1000,110,70,90,170,90,320
healthcare web designer,INR,90,120%,-35%,Low,5,2078.64,12815.56,,,,,,170,110,110,50,70,260,30,10,70,50,20,110
best real estate landing page,INR,50,350%,-18%,Low,16,476.20,2603.04,,,,,,90,90,70,50,30,30,20,20,20,20,20,90
website start up costs,INR,10,0%,0%,High,69,888.36,1682.59,,,,,,20,20,10,10,10,10,10,10,10,10,10,10
cool law firm websites,INR,720,84%,-18%,Low,27,836.74,2903.49,,,,,,880,720,1000,880,720,1300,480,390,390,320,320,590
solo law firm website design,INR,40,-33%,100%,Low,20,1819.57,4724.19,,,,,,10,10,10,10,10,260,50,30,30,30,10,20
low cost business website,INR,20,0%,-86%,Medium,49,784.96,2421.46,,,,,,70,40,10,10,10,90,20,10,10,10,10,10
best looking real estate websites,INR,10,0%,-67%,Medium,43,387.38,1446.03,,,,,,20,20,20,10,20,10,10,10,10,10,10,10
attorney web design,INR,2400,82%,-70%,Low,9,2881.70,7558.70,,,,,,4400,3600,2400,2400,1600,8100,2400,1300,720,880,1000,1600
best real estate website companies,INR,10,0%,0%,Medium,63,1015.58,2362.09,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
food ordering website design,INR,10,0%,-67%,Medium,54,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
custom real estate web design,INR,40,0%,-80%,Low,14,,,,,,,,70,110,140,20,40,20,10,10,10,10,10,10
real estate web page design,INR,1300,49%,-70%,Low,16,729.17,2880.85,,,,,,2400,2400,1900,1300,1300,1900,590,590,590,590,480,880
law firm web design agency,INR,110,40%,-59%,Low,1,,,,,,,,170,170,70,50,50,480,90,40,20,50,20,70
law firm web designers,INR,210,-36%,-65%,Low,7,7036.20,11338.05,,,,,,320,260,110,70,110,1000,210,170,110,140,70,90
medical website development company,INR,20,-50%,-75%,Low,26,,,,,,,,40,70,50,0,10,110,10,10,10,20,10,10
small web development companies,INR,10,0%,-50%,High,71,678.67,2626.92,,,,,,20,10,20,10,30,10,20,10,10,10,10,10
cost of creating a website for a small business,INR,70,-20%,-81%,Medium,42,275.94,1249.18,,,,,,170,90,50,30,30,140,50,90,70,50,30,40
best real estate web design companies,INR,30,800%,29%,Low,1,,,,,,,,90,70,50,10,30,10,10,10,10,10,20,90
web design for estate agents,INR,30,100%,-78%,Low,0,,,,,,,,70,30,20,20,50,70,50,10,20,10,10,20
best legal website design,INR,90,-71%,-71%,Low,13,2578.46,4724.19,,,,,,70,70,50,10,40,390,110,110,140,70,20,20
allied health website design,INR,10,0%,-100%,Unknown,,,,,,,,,0,10,0,0,0,0,10,0,10,0,0,0
top law firm website design,INR,390,53%,-19%,Low,23,2172.18,6330.41,,,,,,320,390,320,170,210,1900,260,210,170,170,140,260
law firm website design services,INR,320,180%,-18%,Low,2,,,,,,,,260,390,590,590,480,590,170,140,90,50,50,140
beautiful law firm websites,INR,20,-89%,0%,Low,12,,,,,,,,10,10,10,10,0,70,30,10,10,90,10,10
professional website design services,INR,720,177%,-45%,Low,5,781.85,3293.47,,,,,,1300,1000,720,390,480,1900,480,590,390,260,170,720
restaurant menu design website,INR,20,0%,-71%,Medium,62,323.13,1227.27,,,,,,50,30,30,20,40,10,20,20,10,20,10,20
website development for startups,INR,110,320%,-46%,Low,1,326.39,2558.64,,,,,,260,260,170,70,70,170,40,110,90,50,10,210
average website cost for small business,INR,70,120%,-48%,Low,27,214.59,1394.58,,,,,,170,110,70,90,70,40,50,30,50,50,50,110
small website design,INR,20,0%,-75%,Low,7,,,,,,,,40,30,20,20,20,10,10,10,10,10,10,10
general contractor website design,INR,1000,-58%,-38%,Low,9,482.08,3117.96,,,,,,1600,1300,1300,720,720,2400,1000,320,320,2400,590,1000
real estate web design company,INR,140,420%,-19%,Low,1,,,,,,,,320,320,170,70,170,260,50,40,20,50,70,260
commercial real estate web design,INR,590,320%,-94%,Low,7,661.39,2364.26,,,,,,3600,1900,170,110,210,390,210,90,70,50,70,210
best food websites design,INR,10,100%,-33%,Low,30,329.52,853.99,,,,,,30,20,20,10,10,10,10,10,10,10,10,20
small business web design agency,INR,110,267%,-48%,Low,5,326.15,1125.30,,,,,,320,210,140,70,90,210,90,30,10,30,30,110
best real estate agent websites 2022,INR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,10,0,0,0,0,0,0,0
web design for small businesses and individuals,INR,10,0%,-75%,Medium,43,,,,,,,,30,20,10,10,20,10,20,10,10,10,10,10
best restaurant menu design website,INR,10,0%,0%,High,86,,,,,,,,10,10,10,10,10,10,0,10,10,10,0,10
website packages for small business,INR,260,143%,-71%,Low,12,485.65,1921.69,,,,,,590,390,320,210,140,1000,110,20,50,70,30,170
best agent real estate websites,INR,720,0%,-55%,Medium,49,362.49,2362.09,,,,,,1000,1300,880,590,720,880,590,480,390,590,480,590
restaurant web page design,INR,1000,156%,-47%,Low,13,425.18,2151.71,,,,,,1600,1900,1600,1000,1000,1600,880,590,390,390,390,1000
real estate brokerage website design,INR,260,55%,-65%,Low,25,955.87,3215.28,,,,,,390,590,390,320,320,480,170,110,90,110,140,170
health website design,INR,40,0%,-78%,Low,19,1682.46,4251.77,,,,,,90,90,50,40,30,20,10,10,10,20,20,20
local business website design,INR,390,86%,-74%,Low,8,414.63,1445.02,,,,,,880,720,480,320,390,880,260,210,170,140,260,260
medical web development,INR,260,200%,-71%,Low,2,669.89,4251.77,,,,,,720,390,170,90,90,880,70,10,70,70,30,210
the best real estate website design,INR,10,0%,0%,Medium,66,406.97,1214.16,,,,,,10,10,10,10,10,0,0,10,0,10,0,10
best menu design website,INR,20,-67%,-75%,Medium,39,131.15,774.42,,,,,,20,40,20,20,10,10,20,20,10,30,10,10
best restaurant website design 2022,INR,10,0%,0%,Unknown,,,,,,,,,10,10,10,0,0,0,0,0,0,0,0,0
roofer website design,INR,140,57%,-66%,Low,2,,,,,,,,260,170,110,40,110,260,260,170,50,70,20,110
attorney website designer,INR,390,24%,-56%,Low,7,3306.93,11527.02,,,,,,590,480,260,170,210,1900,260,110,110,170,110,210
best websites for law firms,INR,720,84%,-18%,Low,27,836.74,2903.49,,,,,,880,720,1000,880,720,1300,480,390,390,320,320,590
real estate website design services,INR,170,250%,40%,Low,3,,,,,,,,90,390,590,260,170,170,90,70,30,20,40,70
website startup costs,INR,30,400%,25%,Low,11,162.01,2961.01,,,,,,50,30,20,10,10,20,10,10,70,10,20,50
real estate agent personal website,INR,40,100%,-20%,Low,30,301.09,1889.67,,,,,,50,70,70,30,20,50,30,10,20,20,30,40
hvac website design companies,INR,90,0%,-71%,Low,7,1322.98,6143.34,,,,,,260,260,110,50,90,170,90,20,20,50,20,50
small business website redesign,INR,2900,0%,-56%,Low,11,750.57,3117.96,,,,,,4400,3600,2900,2900,2900,5400,2900,1600,880,2900,1000,2900
building construction company website,INR,590,-19%,-33%,Medium,37,276.84,1132.86,,,,,,720,590,390,390,590,880,720,590,390,590,320,480
small web design companies,INR,110,425%,-34%,Low,1,1107.35,3041.23,,,,,,320,260,140,40,50,110,10,140,10,40,20,210
web design companies for small businesses,INR,590,324%,-45%,Low,3,1035.54,3416.44,,,,,,1300,1000,590,260,480,1300,480,110,170,170,140,720
food delivery website design,INR,10,0%,-67%,Low,17,,,,,,,,10,10,10,20,10,10,50,20,0,10,10,10
web development services for small business,INR,170,29%,-72%,Low,0,,,,,,,,480,260,170,50,90,590,320,40,50,70,30,90
best small business web design companies,INR,210,133%,-46%,Low,6,962.53,4057.13,,,,,,390,390,210,110,210,390,90,50,70,90,70,210
legal website development,INR,50,50%,-57%,Low,10,3779.35,6145.20,,,,,,90,50,20,10,10,260,30,40,10,20,10,30
web design for realtors,INR,1300,49%,-70%,Low,16,729.17,2880.85,,,,,,2400,2400,1900,1300,1300,1900,590,590,590,590,480,880
findlaw website design,INR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,0,10,10,10,10,10
restaurant website design cost,INR,10,0%,0%,Medium,57,256.86,2655.64,,,,,,0,10,10,10,10,10,0,10,0,10,0,10
web design agency for small business,INR,70,40%,-22%,Low,17,435.03,2072.94,,,,,,90,90,110,30,40,70,110,40,40,50,10,70
top real estate website designs,INR,10,0%,-75%,High,86,,,,,,,,30,20,20,10,10,10,10,10,10,10,10,10
