kw-commerce-types,,,,,,,,,,,,,,,,,,,,,,,,,
1 April 2025 - 31 March 2026,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
bigcommerce omnichannel,INR,10,0%,0%,Low,3,,,,,,,,10,10,20,10,10,10,10,10,10,10,0,10
b2b ecommerce website builder,INR,10,0%,0%,High,71,,,,,,,,30,20,10,0,10,50,10,0,10,10,0,10
unified commerce platform,INR,210,53%,-33%,Low,6,998.22,2254.49,,,,,,390,260,140,110,110,480,480,70,90,170,140,260
b2b ecommerce site,INR,390,433%,-52%,Low,2,576.10,3259.69,,,,,,720,590,480,210,390,590,210,70,320,90,140,480
omnichannel ecommerce platform,INR,110,1200%,-19%,Low,1,804.39,3115.25,,,,,,260,260,140,70,50,170,40,30,40,20,40,260
b2b shopping website,INR,10,0%,0%,High,79,,,,,,,,10,10,10,10,10,0,10,10,10,10,0,10
shopify b2b store,INR,20,100%,0%,Low,15,561.33,1279.71,,,,,,10,20,10,10,10,110,10,10,10,10,10,20
commercetools composable commerce,INR,70,80%,-18%,Low,1,,,,,,,,90,50,70,40,70,30,50,40,50,50,90,90
salesforce composable commerce,INR,20,0%,-86%,Low,7,,,,,,,,90,20,10,20,10,20,20,10,10,20,10,20
shopify composable commerce,INR,20,∞,-60%,Low,0,,,,,,,,20,30,40,30,20,20,50,10,10,0,20,20
composable commerce platform,INR,170,700%,0%,Low,1,1322.86,2708.49,,,,,,320,260,210,70,140,140,170,70,70,40,70,320
b2b ecommerce website development,INR,170,80%,-77%,Low,9,839.96,4361.37,,,,,,320,320,140,170,170,590,170,50,50,50,40,90
composable commerce salesforce,INR,10,0%,-86%,Medium,43,,,,,,,,70,10,10,10,10,10,10,10,10,10,10,10
kibo unified commerce platform,INR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
b2b online selling platform,INR,10,0%,-80%,Low,0,,,,,,,,40,30,10,10,10,10,10,0,10,10,0,10
ai ecommerce platform,INR,90,325%,55%,Low,6,384.51,1260.41,,,,,,140,140,90,40,40,210,40,40,50,40,30,170
headless shopify development,INR,40,0%,-78%,Low,9,,,,,,,,70,50,20,20,20,210,10,10,10,20,10,20
best b2b website platform,INR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,10,10,10,10,10,10,10,0
wix b2b ecommerce,INR,10,0%,0%,Low,7,,,,,,,,0,10,10,10,10,10,10,10,0,10,10,10
omnichannel ecommerce software,INR,20,0%,-86%,Low,6,,,,,,,,90,50,20,20,20,20,10,10,10,10,10,10
best b2b ecommerce website design,INR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,0,10,10,10,10,10,10
omni ecommerce,INR,10,0%,-67%,Low,11,,,,,,,,30,20,20,10,10,20,10,10,10,10,10,10
commerce composable,INR,20,300%,33%,Low,0,,,,,,,,30,50,30,20,10,10,20,20,10,10,10,40
ai based ecommerce platform,INR,50,1300%,180%,Low,1,,,,,,,,50,70,30,10,20,170,10,10,10,10,10,140
composable commerce definition,INR,30,200%,-73%,Low,0,,,,,,,,90,70,40,30,10,40,40,20,10,10,20,30
magento omnichannel,INR,20,400%,67%,Low,0,,,,,,,,20,20,30,10,10,50,30,10,10,10,10,50
omnichannel commerce software,INR,40,600%,-22%,Low,2,,,,,,,,110,90,70,30,30,10,10,10,10,10,10,70
composable commerce examples,INR,30,200%,-82%,Low,0,,,,,,,,110,90,40,20,10,20,10,10,10,10,10,30
business to business sites,INR,50,33%,-56%,Low,29,779.49,1889.67,,,,,,70,70,50,40,40,50,50,50,20,30,30,40
b2b ecommerce store,INR,10,0%,0%,High,86,,,,,,,,20,10,10,10,10,50,10,10,0,10,10,10
commercetools tech stack,INR,10,0%,0%,Low,29,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
salesforce commerce cloud einstein,INR,10,0%,-75%,Low,4,,,,,,,,40,20,10,10,10,10,10,10,10,10,10,10
unified retail commerce,INR,90,300%,-88%,Low,1,,,,,,,,260,170,110,210,110,10,70,10,10,10,70,40
b2b ecommerce website examples,INR,40,-25%,-67%,Low,8,286.23,736.81,,,,,,70,50,50,40,20,70,40,20,10,40,40,30
b2b commerce website,INR,390,433%,-52%,Low,2,576.10,3259.69,,,,,,720,590,480,210,390,590,210,70,320,90,140,480
b2b marketplace development,INR,20,50%,-25%,Low,0,,,,,,,,30,20,30,10,10,20,10,10,10,20,10,30
b2b ecommerce website design,INR,110,600%,-67%,Low,1,,,,,,,,210,170,140,70,110,260,90,70,20,10,20,70
b2b e commerce site,INR,390,433%,-52%,Low,2,576.10,3259.69,,,,,,720,590,480,210,390,590,210,70,320,90,140,480
composable commerce meaning,INR,40,67%,-44%,Low,6,,,,,,,,70,70,30,30,20,40,20,20,30,30,30,50
b2b magento development,INR,40,100%,-86%,Low,0,,,,,,,,140,70,40,10,20,170,10,10,10,10,10,20
ecommerce platform for wholesale,INR,170,200%,-34%,Low,7,598.25,1354.23,,,,,,210,260,210,140,170,390,110,50,70,70,90,210
salesforce b2b commerce developer,INR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,20,10,0,10,10,0,0
magento enterprise developers,INR,50,800%,-36%,Low,1,,,,,,,,110,110,70,20,70,90,20,10,10,10,20,90
magento ai,INR,20,0%,-75%,Low,18,661.39,1707.57,,,,,,40,30,20,20,30,20,10,10,10,10,10,10
shopify composable,INR,10,-100%,-100%,Unknown,,,,,,,,,10,10,0,10,10,10,10,0,0,10,10,0
b2b ecommerce development agency,INR,90,267%,0%,Low,2,,,,,,,,140,90,70,20,30,390,30,10,10,30,90,110
b2b ecommerce website design agency,INR,20,∞,50%,Low,0,,,,,,,,20,30,10,10,10,70,10,10,10,0,10,30
development of b2b e commerce,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,70,0,10,10,0,0,0
omnichannel in ecommerce,INR,20,100%,-82%,Low,9,,,,,,,,90,40,10,10,10,90,10,10,10,10,10,20
b2b magento agency,INR,40,150%,-55%,Low,0,,,,,,,,90,50,40,10,10,210,20,10,20,20,10,50
best b2b ecommerce sites,INR,40,600%,-73%,Low,8,643.19,4667.28,,,,,,90,50,70,50,30,20,10,10,40,10,10,70
headless ecommerce development,INR,40,0%,-73%,Low,6,,,,,,,,110,90,50,20,20,90,20,10,30,30,10,30
b2b platform development,INR,10,0%,0%,Low,0,,,,,,,,10,20,10,10,10,50,10,0,10,10,10,10
b2b ecommerce developer,INR,30,100%,-33%,Low,4,,,,,,,,40,40,20,10,40,110,10,0,20,10,10,20
ecommerce chatbot platform,INR,30,1000%,175%,Low,0,,,,,,,,40,50,30,10,10,90,20,10,10,10,10,110
b2b ecommerce portals,INR,110,320%,24%,Low,3,1019.48,3265.01,,,,,,210,170,90,40,50,320,40,20,70,50,30,210
b to b ecommerce website,INR,390,433%,-52%,Low,2,576.10,3259.69,,,,,,720,590,480,210,390,590,210,70,320,90,140,480
b2b ecommerce web design,INR,110,600%,-67%,Low,1,,,,,,,,210,170,140,70,110,260,90,70,20,10,20,70
b2b online website,INR,10,0%,0%,Low,12,,,,,,,,10,10,10,10,10,10,0,0,0,10,10,10
b2b composable commerce,INR,10,400%,150%,Low,1,,,,,,,,30,20,10,10,10,10,20,0,0,10,10,50
magento 2 omnichannel,INR,10,∞,0%,Low,0,,,,,,,,10,10,10,10,0,0,10,0,0,0,0,10
laravel b2b marketplace,INR,10,-100%,-100%,Unknown,,,,,,,,,0,0,10,10,0,0,0,0,0,10,0,0
best ecommerce sites for b2b,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,0,0,0,0,10,0
b2b commerce developer,INR,10,0%,0%,Low,14,,,,,,,,10,10,10,10,10,10,0,10,0,10,0,10
b2b ecommerce portal development,INR,10,∞,0%,Low,2,,,,,,,,20,20,10,10,20,70,10,0,10,0,10,20
asp net b2b ecommerce,INR,10,-100%,-100%,Unknown,,,,,,,,,10,0,0,10,0,0,0,0,0,10,10,0
asp net b2b ecommerce platform,INR,10,0%,-100%,Unknown,,,,,,,,,20,10,10,0,10,0,0,0,0,0,0,0
b2b commerce site,INR,390,433%,-52%,Low,2,576.10,3259.69,,,,,,720,590,480,210,390,590,210,70,320,90,140,480
b2b e commerce development services & company,INR,40,0%,0%,Low,0,,,,,,,,70,50,10,10,30,260,10,0,10,10,0,10
b2b e commerce web sites,INR,10,∞,0%,Low,0,,,,,,,,10,10,10,0,0,0,0,0,0,0,10,10
b2b e commerce websites list,INR,10,0%,0%,Unknown,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0
b2b ecommerce design,INR,10,0%,-50%,Low,0,,,,,,,,10,10,10,10,10,70,10,10,10,10,0,10
b2b ecommerce development services,INR,90,1300%,-18%,Low,1,,,,,,,,210,110,50,30,30,480,40,20,20,10,20,140
b2b ecommerce platform development,INR,10,∞,0%,Low,29,,,,,,,,30,20,10,0,10,70,10,0,10,0,0,10
b2b ecommerce replatforming,INR,30,600%,133%,Low,0,,,,,,,,40,40,20,10,10,90,10,10,10,10,10,70
b2b magento developer,INR,30,0%,-89%,Low,0,,,,,,,,70,70,10,10,20,140,20,10,10,10,10,10
b2b marketplace app development,INR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,0,0,0,0,0,10,0,0
b2b omnichannel commerce platform,INR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,0,0,10,10,10
b2b online shopping sites,INR,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
best b2b e commerce website,INR,40,600%,-73%,Low,8,643.19,4667.28,,,,,,90,50,70,50,30,20,10,10,40,10,10,70
business to business b2b e commerce websites,INR,10,0%,-100%,Unknown,,,,,,,,,0,0,0,10,10,0,0,0,0,0,0,0
business to business e commerce platform,INR,10,0%,0%,Low,0,,,,,,,,10,10,10,0,10,0,10,0,10,10,0,10
business to business e commerce website,INR,390,433%,-52%,Low,2,576.10,3259.69,,,,,,720,590,480,210,390,590,210,70,320,90,140,480
business to business e commerce websites examples,INR,10,0%,-50%,Low,0,,,,,,,,10,10,20,10,10,10,0,10,20,10,10,10
custom enterprise marketplace development,INR,40,200%,0%,Low,0,,,,,,,,50,170,70,40,30,40,10,10,10,10,10,30
customized b2b ecommerce development services,INR,50,400%,-55%,Low,0,,,,,,,,90,90,40,10,20,210,20,10,10,10,10,50
ecommerce chatbots platform,INR,40,1000%,120%,Low,0,,,,,,,,70,70,30,10,10,90,40,10,10,10,10,110
ecommerce replatforming agency,INR,10,∞,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,0,0,0,10,10
ecommerce replatforming checklist,INR,20,400%,25%,Low,0,,,,,,,,50,50,20,10,10,0,10,10,10,10,10,50
ecommerce replatforming services,INR,50,300%,33%,Low,0,,,,,,,,70,140,70,40,20,90,10,10,10,10,10,40
ecommerce replatforming solutions,INR,10,100%,-33%,Low,0,,,,,,,,10,10,10,10,10,10,0,0,0,10,10,20
enterprise ecommerce developers,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,50,10,0,0,0,0,0
enterprise woocommerce development,INR,10,0%,0%,Unknown,,,,,,,,,10,10,10,10,10,10,10,20,0,0,10,0
example of business to business e commerce website,INR,10,0%,-50%,Low,0,,,,,,,,10,10,20,10,10,10,0,10,20,10,10,10
front end back end ecommerce,INR,10,-100%,-100%,Unknown,,,,,,,,,0,0,0,10,0,10,0,10,0,10,0,0
headless commerce developer,INR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,0,10,0,10
headless commerce development company,INR,70,57%,22%,Low,0,,,,,,,,90,70,30,10,10,320,40,10,10,70,90,110
headless commerce development services,INR,70,367%,27%,Low,0,,,,,,,,110,90,30,10,20,260,40,10,10,30,110,140
headless e commerce development company,INR,110,-55%,0%,Low,0,,,,,,,,70,50,30,20,30,320,320,210,70,110,10,50
headless e commerce development services,INR,170,27%,100%,Low,1,,,,,,,,70,50,50,20,50,590,320,210,70,110,140,140
headless marketplace development,INR,10,∞,0%,Low,0,,,,,,,,10,10,10,0,10,10,0,0,10,0,0,10
hybris omnichannel,INR,10,-100%,-100%,Unknown,,,,,,,,,10,0,10,10,0,10,10,0,0,10,10,0
magento 2 enterprise developers,INR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,0,0,10,10,0
magento 2 headless development,INR,10,0%,0%,Low,0,,,,,,,,20,20,20,10,20,10,0,10,0,10,0,10
magento b2b agency,INR,40,400%,-55%,Low,0,,,,,,,,110,50,20,10,10,170,10,10,20,10,10,50
magento b2b developer,INR,50,0%,-91%,Low,0,,,,,,,,110,50,10,10,20,320,10,10,0,10,10,10
magento b2b developers,INR,50,0%,-91%,Low,0,,,,,,,,110,50,10,10,20,320,10,10,0,10,10,10
magento b2b development,INR,30,300%,-43%,Low,0,,,,,,,,70,50,30,10,20,110,10,10,20,10,10,40
magento b2b development services,INR,40,0%,-89%,Low,7,,,,,,,,90,40,30,10,10,260,10,0,10,10,0,10
magento b2b store development,INR,30,0%,-89%,Low,0,,,,,,,,90,50,10,10,30,170,10,0,10,10,10,10
magento b2b websites,INR,10,-100%,-100%,Unknown,,,,,,,,,0,10,0,10,10,10,0,10,0,10,0,0
magento enterprise agency,INR,30,100%,-71%,Low,0,,,,,,,,90,70,20,10,30,90,10,10,20,10,10,20
magento enterprise development,INR,40,600%,-22%,Low,0,,,,,,,,90,50,50,20,10,110,30,10,20,10,10,70
magento enterprise development agency,INR,10,-100%,-100%,Unknown,,,,,,,,,20,20,10,10,10,10,0,0,10,10,0,0
magento enterprise development company,INR,10,0%,0%,Low,0,,,,,,,,10,20,10,10,10,20,0,0,0,10,10,10
magento replatform,INR,10,0%,-67%,Low,0,,,,,,,,30,30,20,0,20,10,0,10,10,10,10,10
omni channel ecommerce management platform,INR,10,∞,0%,Low,0,,,,,,,,30,10,10,0,10,10,0,0,0,0,0,10
omni channel ecommerce platform selling,INR,10,0%,0%,Low,0,,,,,,,,10,10,10,0,10,0,0,0,0,10,0,10
omnichannel b2b commerce platform,INR,40,100%,-78%,Low,0,,,,,,,,140,90,50,50,50,30,10,20,10,10,10,20
omnichannel commerce cloud,INR,10,0%,0%,Low,0,,,,,,,,10,10,10,0,10,10,0,0,10,10,0,10
omnichannel e commerce software,INR,20,0%,-86%,Low,6,,,,,,,,90,50,20,20,20,20,10,10,10,10,10,10
omnichannel for ecommerce software,INR,10,0%,-100%,Unknown,,,,,,,,,20,20,0,0,0,0,0,0,0,0,0,0
omnichannel for magento 2,INR,10,0%,-100%,Unknown,,,,,,,,,10,10,10,0,10,0,0,0,0,0,0,0
replatform to shopify,INR,10,∞,0%,Low,0,,,,,,,,30,10,10,10,10,0,0,0,10,0,10,10
replatforming checklist,INR,10,0%,-100%,Unknown,,,,,,,,,10,0,10,0,0,0,0,0,0,0,0,0
retail omni channel commerce platform,INR,70,300%,-76%,Low,0,,,,,,,,210,170,90,90,110,30,10,10,0,10,10,40
shopify headless development,INR,20,0%,-80%,Low,0,,,,,,,,50,30,10,10,10,70,20,10,0,10,10,10
shopping websites use b2b e commerce,INR,10,0%,∞,Low,10,,,,,,,,10,10,10,0,10,10,10,0,10,10,10,10
top b2b commerce sites,INR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
top b2b e commerce sites,INR,20,200%,-73%,Low,3,,,,,,,,50,30,20,10,20,10,10,0,10,10,10,30
top b2b ecommerce websites,INR,20,200%,-73%,Low,3,,,,,,,,50,30,20,10,20,10,10,0,10,10,10,30
vue storefront headless development,INR,10,0%,0%,Unknown,,,,,,,,,10,10,10,10,10,0,0,0,0,0,0,0
ai commerce platform,INR,20,0%,∞,Medium,58,471.14,1287.98,,,,,,0,110,10,10,10,10,90,10,10,20,10,20
d2c ecommerce development,INR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
